command,opcode,large
push_constant_int,352,true
push_var,306,true
pop_var,48,true
push_varbit,2f1,true
pop_varbit,9c,true
push_constant_string,e,true
branch,20a,true
branch_not,31f,true
branch_equals,a,true
branch_less_than,1cf,true
branch_greater_than,a2,true
branch_less_than_or_equals,13a,true
branch_greater_than_or_equals,222,true
push_int_local,59,true
pop_int_local,5,true
push_string_local,313,true
pop_string_local,64,true
join_string,fb,true
pop_int_discard,26a,false
pop_string_discard,2b2
gosub_with_params,3a1,true
define_array,14b,true
push_array_int,10f,true
pop_array_int,1a1,true
switch,301,true
push_long_constant,33d,true
pop_long_discard,259,true
push_long_local,6a,true
pop_long_local,116,true
long_branch_not,4,true
long_branch_equals,290,true
long_branch_less_than,219,true
long_branch_greater_than,1e5,true
long_branch_less_than_or_equals,37f,true
long_branch_greater_than_or_equals,1fe,true
push_array_int_leave_index_on_stack,10f,true
push_array_int_and_index,e2,true
pop_array_int_leave_value_on_stack,2e8,true
branch_if_true,145,true
branch_if_false,e8,true
